Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
15,K001,P.S. 1 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,136822,136822,0.00,DSF: 0000823199
15,K001,P.S. 1 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,136823,136823,0.00,DSF: 0000823205
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,158955,158955,7036.00,DSF: 0000868414
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,Construction,PNS,PNS,PNS,PNS,685860,685860,16292.00,DSF: 0000868414
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,Design,Complete,07/23/2018,12/24/2018,03/18/2019,64759,10562,10562.00,DSF: 0000868414
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,Scope,Complete,05/03/2018,08/02/2018,06/26/2018,17662,12953,12953.00,DSF: 0000868414
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,"CM, F&E",Complete,06/11/2018,03/07/2019,03/05/2019,115175,123168,104275.00,DSF: 0000867319
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,21000,21000,1662.00,DSF: 0000890739
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,308000,308000,0.00,DSF: 0000890739
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Construction,Complete,06/11/2018,03/07/2019,03/05/2019,352000,204627,171683.00,DSF: 0000867319
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,02/21/2018,08/15/2018,04/18/2018,24000,33144,32822.00,DSF: 0000867319
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,21000,19541,5838.00,DSF: 0000890739
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,02/01/2018,06/01/2018,02/21/2018,0,8301,8301.00,DSF: 0000867319
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,11/15/2018,03/21/2019,,0,1459,1459.00,DSF: 0000890739
15,K001,P.S. 1 - BROOKLYN,SCA IEH,"IEH PO18-BASEMENT CORRDOR, 3 VESTIBULES & CORRIDOR",Construction,In-Progress,05/07/2018,IEH,,IEH,89248,0.00,DSF: 0000051749
17,K002,I.S. 2 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000823100
17,K002,I.S. 2 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/14/2019,DIIR,,250000,250000,248123.00,DSF: 0000890017
17,K002,I.S. 2 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/01/2017,DOES,,DOES,170000,170000.00,DSF: 0000868435
17,K002,I.S. 2 - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,07/25/2017,DOES,,DOES,80580,80580.00,DSF: 0000865884
17,K002,I.S. 2 - BROOKLYN,Fast Track Projects,FY19 RESO A LIBRARY UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,120000,0.00,DSF: 0000890736
17,K002,I.S. 2 - BROOKLYN,SCA CIP,EXT. MASONRY/WINDOWS/PARAPETS/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,248059,248059,10845.00,"DSF: 0000868429, 0000868430, 0000868431, 0000868432"
17,K002,I.S. 2 - BROOKLYN,SCA CIP,CONDENSING UNITS DX COILS REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,363650,363650,1142.00,DSF: 0000891044
17,K002,I.S. 2 - BROOKLYN,SCA CIP,CONDENSING UNITS DX COILS REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5844381,5844381,0.00,DSF: 0000891044
17,K002,I.S. 2 - BROOKLYN,SCA CIP,EXT. MASONRY/WINDOWS/PARAPETS/ROOFS,Construction,PNS,PNS,PNS,PNS,2857474,2857474,500.00,"DSF: 0000868429, 0000868430, 0000868431, 0000868432"
17,K002,I.S. 2 - BROOKLYN,SCA CIP,CONDENSING UNITS DX COILS REPLACEMENT,Design,In-Progress,02/20/2019,07/11/2019,,311700,311700,372.00,DSF: 0000891044
17,K002,I.S. 2 - BROOKLYN,SCA CIP,EXT. MASONRY/WINDOWS/PARAPETS/ROOFS,Design,In-Progress,02/20/2019,07/22/2019,,169426,169426,3446.00,"DSF: 0000868429, 0000868430, 0000868431, 0000868432"
17,K002,I.S. 2 - BROOKLYN,SCA CIP,EXT. MASONRY/WINDOWS/PARAPETS/ROOFS,Scope,Complete,10/16/2018,03/06/2019,02/20/2019,43246,126192,861.00,"DSF: 0000868429, 0000868430, 0000868431, 0000868432"
17,K002,I.S. 2 - BROOKLYN,SCA CIP,CONDENSING UNITS DX COILS REPLACEMENT,Scope,Complete,10/16/2018,02/15/2019,02/20/2019,77925,13413,93.00,DSF: 0000891044
17,K002,I.S. 2 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,62000,62000,0.00,DSF: 0000889674
13,K003,P.S. 3 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,10/01/2018,DOES,,DOES,173742,173742.00,DSF: 0000865952
13,K003,P.S. 3 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",In-Progress,11/15/2018,03/10/2020,,47520,22904,18535.00,DSF: 0000868177
13,K003,P.S. 3 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,11/15/2018,03/10/2020,,205040,194458,68056.00,DSF: 0000868177
13,K003,P.S. 3 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,05/16/2018,02/28/2019,08/08/2018,19360,19604,19604.00,DSF: 0000868177
13,K003,P.S. 3 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,05/15/2018,09/17/2018,05/16/2018,5280,4885,4885.00,DSF: 0000868177
13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,159000,150000,150000.00,DSF: 0000866686
13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0.00,DSF: 0000866686
13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0.00,DSF: 0000866686
13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000866686
16,K005,P.S. 5 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,115000,115000,0.00,DSF: 0000890019
